Fecha,AAPL,MSFT,GOOGL,AMZN,TSLA
2023-01-03,125.07,239.58,89.70,85.46,108.10
2023-01-04,127.83,234.85,87.67,83.58,107.51
2023-01-05,127.88,230.12,86.39,81.60,102.93
2023-01-06,128.75,231.72,87.01,78.53,102.81
2023-01-07,129.38,229.44,87.98,75.79,98.81
2023-01-10,132.15,229.77,86.21,75.57,102.75
2023-01-11,132.17,229.22,87.17,74.51,102.42
2023-01-12,130.81,231.40,85.51,73.71,97.90
2023-01-13,135.87,234.98,84.93,76.79,98.51
2023-01-14,136.35,233.66,84.41,74.60,89.58
2023-01-17,136.23,230.88,85.82,73.96,95.16
2023-01-18,136.85,229.45,86.80,73.63,100.59
2023-01-19,138.16,230.36,83.58,72.83,98.89
2023-01-20,132.92,235.95,83.32,70.27,97.37
2023-01-21,134.55,233.20,83.51,70.24,99.98
2023-01-24,136.33,233.81,83.24,69.00,107.50
2023-01-25,136.54,233.68,81.56,68.53,111.46
2023-01-26,134.50,233.36,80.08,68.36,113.00
2023-01-27,130.36,232.99,76.57,66.43,117.71
2023-01-28,129.60,232.98,76.34,66.58,108.05
2023-01-31,127.34,235.66,77.16,68.89,109.40
2023-02-01,124.37,233.54,76.03,68.58,107.94
2023-02-02,125.99,236.09,76.48,67.32,108.01
2023-02-03,124.20,243.27,75.55,66.10,105.83
2023-02-04,122.90,244.56,74.33,65.81,103.58
2023-02-07,122.06,246.49,72.95,65.27,98.00
2023-02-08,120.59,248.66,72.53,65.00,102.28
2023-02-09,117.66,247.64,72.57,63.41,103.94
2023-02-10,118.33,245.03,71.72,63.19,103.16
2023-02-11,118.09,243.73,69.41,60.62,98.48
2023-02-14,119.43,239.20,67.76,60.32,97.58
2023-02-15,122.38,237.10,65.97,60.31,98.27
2023-02-16,121.68,237.56,65.47,60.70,101.91
2023-02-17,122.25,239.97,66.70,61.49,103.30
2023-02-18,123.78,239.72,66.87,61.87,102.31
2023-02-21,125.34,243.56,67.83,62.79,101.29
2023-02-22,124.23,246.14,67.27,63.19,109.40
2023-02-23,125.42,247.11,68.12,61.76,103.51
2023-02-24,127.68,246.56,67.44,63.81,105.23
2023-02-25,126.29,248.45,68.62,66.36,104.12
2023-02-28,127.78,249.31,68.32,66.72,107.56
2023-03-01,126.75,251.44,69.22,67.70,112.59
2023-03-02,126.93,247.82,69.63,65.02,122.47
2023-03-03,127.04,245.12,68.87,65.43,125.43
2023-03-04,126.36,239.43,67.90,63.44,119.30
2023-03-07,124.38,238.43,69.36,63.70,119.09
2023-03-08,123.84,235.29,67.60,62.39,117.84
2023-03-09,125.33,234.23,66.30,61.71,113.47
2023-03-10,125.85,236.44,65.27,61.06,114.57
2023-03-11,123.80,239.24,65.79,61.54,118.23
2023-03-14,122.01,233.40,64.59,60.96,119.36
2023-03-15,121.52,234.58,67.18,60.88,126.18
2023-03-16,123.36,234.90,67.90,61.00,123.06
2023-03-17,121.95,231.25,69.76,62.12,121.50
2023-03-18,122.91,233.33,68.57,60.96,122.60
2023-03-21,123.90,233.92,67.10,61.62,122.24
2023-03-22,122.71,232.24,68.87,62.23,116.31
2023-03-23,126.77,229.65,68.43,63.99,114.96
2023-03-24,130.36,229.09,67.96,66.80,120.00
2023-03-25,133.08,233.14,68.01,67.13,117.97
2023-03-28,132.49,237.60,68.78,66.21,115.85
2023-03-29,131.82,239.36,68.30,67.63,125.83
2023-03-30,132.87,232.80,66.94,67.48,124.15
2023-03-31,128.62,232.74,66.51,68.14,118.31
2023-04-01,130.19,236.58,67.91,67.45,119.86
2023-04-04,131.50,238.14,68.56,66.55,119.56
2023-04-05,126.99,245.95,69.29,65.64,126.53
2023-04-06,123.55,248.78,69.33,66.04,121.12
2023-04-07,125.93,251.49,70.65,66.42,117.56
2023-04-08,126.03,252.36,71.52,65.27,116.64
2023-04-11,126.14,253.81,72.54,63.13,118.52
2023-04-12,125.27,254.69,72.86,64.66,115.88
2023-04-13,124.82,260.03,70.07,64.91,122.71
2023-04-14,126.26,259.26,68.18,67.43,119.96
2023-04-15,124.93,264.04,69.73,67.83,120.82
2023-04-18,123.35,266.35,69.74,69.27,124.03
2023-04-19,124.46,264.52,71.07,70.29,120.20
2023-04-20,122.41,269.38,68.08,69.81,123.42
2023-04-21,122.29,274.04,67.37,73.39,120.89
2023-04-22,127.29,269.28,69.83,74.21,118.86
2023-04-25,129.81,265.64,70.12,75.16,112.20
2023-04-26,130.16,264.35,70.99,74.56,106.96
2023-04-27,130.09,260.14,71.05,74.66,107.26
2023-04-28,129.48,261.01,69.65,75.61,116.39
2023-04-29,130.72,250.72,68.97,73.35,114.81
2023-05-02,129.87,250.01,66.51,72.85,112.80
2023-05-03,129.48,248.96,67.73,71.86,117.72
2023-05-04,127.00,240.90,67.57,71.28,120.87
2023-05-05,127.37,234.71,67.92,70.52,113.63
2023-05-06,126.89,230.52,69.40,70.94,110.83
2023-05-09,127.52,238.22,69.72,71.57,114.62
2023-05-10,126.65,248.79,69.43,72.99,119.09
2023-05-11,126.13,258.20,70.47,73.85,124.55
2023-05-12,124.79,252.45,71.72,75.70,121.97
2023-05-13,126.55,249.45,71.69,73.59,123.23
2023-05-16,126.04,257.91,73.48,75.18,127.03
2023-05-17,128.03,262.05,72.60,73.75,126.54
2023-05-18,128.42,256.96,71.93,73.16,129.30
2023-05-19,130.17,255.21,72.33,74.65,130.80
2023-05-20,131.11,247.79,74.09,75.57,123.73
2023-05-23,135.64,254.44,75.27,75.53,127.54
2023-05-24,134.03,263.62,73.69,72.22,129.54
2023-05-25,135.92,256.48,74.63,73.07,133.82
2023-05-26,134.01,262.48,72.49,71.56,140.13
2023-05-27,136.84,273.61,74.61,72.11,140.19
2023-05-30,137.24,272.19,76.28,71.14,139.63
2023-05-31,135.49,279.55,78.62,69.60,138.32
2023-06-01,135.08,278.39,75.85,69.30,141.17
2023-06-02,136.82,291.39,74.35,69.77,142.09
2023-06-03,135.97,288.25,73.73,70.21,143.96
2023-06-06,137.24,291.93,71.74,70.72,152.93
2023-06-07,135.88,283.50,71.59,69.72,154.90
2023-06-08,136.47,273.65,72.76,66.55,144.56
2023-06-09,133.84,269.53,73.76,66.79,147.68
2023-06-10,132.05,270.54,77.45,67.42,146.05
2023-06-13,128.53,271.66,76.75,68.47,148.46
2023-06-14,130.50,281.61,76.17,68.30,153.51
2023-06-15,131.56,288.34,77.32,68.47,153.67
2023-06-16,130.93,282.07,78.06,68.35,151.65
